登山靴・トレッキングシューズ
ザック (リュック)
ザックカバー
ヘッドランプ
レインウェア
サングラス
地図
コンパス
腕時計
飲料水
行動食
非常食
日焼け止め
ティッシュペーパー
ビニール袋
手ぬぐい・タオル
ライター
エマージェンシーキット
モバイルバッテリー&充電器
ツェルト
健康保険証のコピー
登山用ウェア
帽子
ソックス
防寒着
手袋
トレッキングポール
ゲーター
ウエストポーチなど
アイゼン
多機能ナイフ
防水バッグ・スタッフサック
