漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
磐梯山ゴールドライン,磐梯山ゴールドライン　　福島県,ばんだいさんごーるどらいん,Bandaisan Gold Line,1131 ,福島県,東北,37.606362,140.052487,磐梯町,,,,,
会津駒ヶ岳,会津駒ヶ岳　　福島県,あいづこまがだけ,Aizu Komagadake,2133 ,福島県,東北,37.047505,139.3533325,檜枝岐村,,,,,
飯豊山,飯豊山　　福島県,いいでさん,Iidesan,2105 ,福島県,東北,37.8548874,139.7071939,喜多方市,,,,,
吾妻山,吾妻山　　福島県,あづまやま,Azumayama,2035 ,福島県,東北,37.7428646,140.1830724,猪苗代町,,,,,
安達太良山,安達太良山　　福島県,あだたらやま,Adatarayama,1718 ,福島県,東北,37.6270454,140.2856777,郡山市,,,,,
磐梯山,磐梯山　　福島県,ばんだいさん,Bandaisan,1819 ,福島県,東北,37.6009673,140.0721786,猪苗代町,,,,,
燧ヶ岳（柴安ぐら）,燧ヶ岳（柴安ぐら）　　福島県,ひうちがたけ（しばやすぐら）,Hiutigatake (Shibayasugura),2356 ,福島県,東北,36.955078,139.285355,檜枝岐村,,,,,
甲子山,甲子山　　福島県,かしざん,Kashizan,1549 ,福島県,東北,37.187183,139.969535,西郷村,,,,,
御神楽岳,御神楽岳　　福島県,ほんなみかぐらだけ,Honnamikaguradake,1386 ,福島県,東北,37.521889,139.425861,金山町,,,,,
会津朝日岳,会津朝日岳　　福島県,あいづあさひだけ,Aizu Asahidake,1624 ,福島県,東北,37.221139,139.339639,只見町,,,,,
西吾妻山,西吾妻山　　福島県,にしあずまやま,Nishiazumayama,2035 ,福島県,東北,37.7381561,140.1407857,北塩原村,,,,,
赤面山,赤面山　　福島県,あかづらやま,Akazurayama,1701 ,福島県,東北,37.149951,139.986562,西郷村,,,,,
二ッ箭山,二ッ箭山　　福島県,ふたつやさん,Ftatsuyasan,710 ,福島県,東北,37.173107,140.870511,いわき市,,,,,
田代山,田代山　　福島県,たしろやま,Tashiroyama,1971 ,福島県,東北,36.9744715,139.4786297,南会津町,,,,,
三岩岳,三岩岳　　福島県,みついわだけ,Mitsuiwadake,2065 ,福島県,東北,37.0821807,139.3798318,檜枝岐村,,,,,
背戸峨廊,背戸峨廊　　福島県,せとがろう,Setogarou,218 ,福島県,東北,37.1833276,140.8291229,いわき市,,,,,
東吾妻山,東吾妻山　　福島県,ひがしあづまやま,Higashiazumayama,1975 ,福島県,東北,37.7284399,140.2528714,福島市,,,,,
二岐山,二岐山　　福島県,ふたまたやま,Futamatayama,1544 ,福島県,東北,37.247368,139.9673487,天栄村,,,,,
川桁山,川桁山　　福島県,かわげたやま,Kawagetayama,1413 ,福島県,東北,37.558392,140.177451,猪苗代町,,,,,
飯森山,飯森山　　福島県,いいもりさん,Iimorisan,1595 ,福島県,東北,37.8153161,139.932743,喜多方市,,,,,
箕輪山,箕輪山　　福島県,みのわやま,Minowayama,1728 ,福島県,東北,37.647025,140.2810746,猪苗代町,,,,,
七ヶ岳,七ヶ岳　　福島県,ななつがたけ,Nanatsugatake,1636 ,福島県,東北,37.124278,139.657472,南会津町,,,,,
博士山,博士山　　福島県,はかせやま,Hakaseyama,1482 ,福島県,東北,37.3633309,139.714812,柳津町,,,,,
蓬田岳,蓬田岳　　福島県,よもぎだだけ,Yomogidadake,952 ,福島県,東北,37.265737,140.53477,平田村,,,,,
鏡山,鏡山　　福島県,かがみやま,Kagamiyama,1339 ,福島県,東北,37.793776,139.704226,西会津町,,,,,
旭岳,旭岳　　福島県,あさひだけ,Asahidake,1835 ,福島県,東北,37.180278,139.959444,下郷町,,,,,
三倉山,三倉山　　福島県,みくらやま,Mikurayama,1888 ,福島県,東北,37.154497,139.902639,下郷町,,,,,
霊山,霊山　　福島県,りょうぜん,Ryouzen,825 ,福島県,東北,37.768544,140.687146,伊達市,,,,,
蒲生岳,蒲生岳　　福島県,がもうだけ,Gamoudake,828 ,福島県,東北,37.3886442,139.335666,只見町,,,,,
半田山,半田山　　福島県,はんだやま,Handayama,863 ,福島県,東北,37.887801,140.48596,桑折町,,,,,
三株山,三株山　　福島県,みかぶやま,Mikabuyama,841 ,福島県,東北,37.0180781,140.592802,古殿町,,,,,
大戸沢岳,大戸沢岳　　福島県,おおとざわだけ,Ootozawadake,2089 ,福島県,東北,37.0544712,139.3694925,檜枝岐村,,,,,
帝釈山,帝釈山　　福島県,たいしゃくさん,Taisyakusan,2060 ,福島県,東北,36.969806,139.459972,南会津町,,,,,
権太倉山,権太倉山　　福島県,ごんたくらやま,Gontakurayama,976 ,福島県,東北,37.2578085,140.1289813,天栄村,,,,,
弥彦山,弥彦山,,,,新潟県,北陸,,,,,,,,
妙高高原,妙高高原,,,,新潟県,北陸,,,,,,,,
越後湯沢,越後湯沢,,,,新潟県,北陸,,,,,,,,
苗場,苗場,,,,新潟県,北陸,,,,,,,,
妙高山,妙高山,,,,新潟県,北陸,,,,,,,,
火打山,火打山,,,,新潟県,北陸,,,,,,,,
越後駒ヶ岳,越後駒ヶ岳,,,,新潟県,北陸,,,,,,,,
平ヶ岳,平ヶ岳,,,,新潟県,北陸,,,,,,,,
巻機山,巻機山,,,,新潟県,北陸,,,,,,,,
二王子岳,二王子岳,,,,新潟県,北陸,,,,,,,,
御神楽岳,御神楽岳,,,,新潟県,北陸,,,,,,,,
八海山,八海山,,,,新潟県,北陸,,,,,,,,
えぶり差岳,えぶり差岳,,,,新潟県,北陸,,,,,,,,
苗場山,苗場山,,,,新潟県,北陸,,,,,,,,
小蓮華山,小蓮華山,,,,新潟県,北陸,,,,,,,,
守門岳,守門岳,,,,新潟県,北陸,,,,,,,,
坂戸山,坂戸山,,,,新潟県,北陸,,,,,,,,
金北山,金北山,,,,新潟県,北陸,,,,,,,,
鳴倉山,鳴倉山,,,,新潟県,北陸,,,,,,,,
仙ノ倉山,仙ノ倉山,,,,新潟県,北陸,,,,,,,,
浅草岳,浅草岳,,,,新潟県,北陸,,,,,,,,
粟ヶ岳,粟ヶ岳,,,,新潟県,北陸,,,,,,,,
米山,米山,,,,新潟県,北陸,,,,,,,,
大源太山,大源太山,,,,新潟県,北陸,,,,,,,,
五頭山,五頭山,,,,新潟県,北陸,,,,,,,,
新潟焼山,新潟焼山,,,,新潟県,北陸,,,,,,,,
大日岳,大日岳,,,,新潟県,北陸,,,,,,,,
神楽ケ峰,神楽ケ峰,,,,新潟県,北陸,,,,,,,,
粟立山,粟立山,,,,新潟県,北陸,,,,,,,,
ドンデン山,ドンデン山,,,,新潟県,北陸,,,,,,,,
阿寺山,阿寺山,,,,新潟県,北陸,,,,,,,,
白山,白山,,,,新潟県,北陸,,,,,,,,
大蔵山,大蔵山,,,,新潟県,北陸,,,,,,,,
菅名岳,菅名岳,,,,新潟県,北陸,,,,,,,,
菱ヶ岳(阿賀野市),菱ヶ岳(阿賀野市),,,,新潟県,北陸,,,,,,,,
高津倉山,高津倉山,,,,新潟県,北陸,,,,,,,,
鉾ヶ岳,鉾ヶ岳,,,,新潟県,北陸,,,,,,,,
光兎山,光兎山,,,,新潟県,北陸,,,,,,,,
北股岳,北股岳,,,,新潟県,北陸,,,,,,,,
立山山麓,立山山麓,,,,富山県,北陸,,,,,,,,
美女平,美女平,,,,富山県,北陸,,,,,,,,
弥陀が原,弥陀が原,,,,富山県,北陸,,,,,,,,
五箇山,五箇山,,,,富山県,北陸,,,,,,,,
稲葉山,稲葉山,,,,富山県,北陸,,,,,,,,
倶梨伽羅峠,倶梨伽羅峠,,,,富山県,北陸,,,,,,,,
二上山,二上山,,,,富山県,北陸,,,,,,,,
剣岳,剣岳,,,,富山県,北陸,,,,,,,,
黒部五郎岳,黒部五郎岳,,,,富山県,北陸,,,,,,,,
黒岳(水晶岳),黒岳(水晶岳),,,,富山県,北陸,,,,,,,,
薬師岳,薬師岳,,,,富山県,北陸,,,,,,,,
立山,立山,,,,富山県,北陸,,,,,,,,
雲ノ平,雲ノ平,,,,富山県,北陸,,,,,,,,
金剛堂山,金剛堂山,,,,富山県,北陸,,,,,,,,
僧ケ岳,僧ケ岳,,,,富山県,北陸,,,,,,,,
毛勝山,毛勝山,,,,富山県,北陸,,,,,,,,
猫又山,猫又山,,,,富山県,北陸,,,,,,,,
小佐波御前山,小佐波御前山,,,,富山県,北陸,,,,,,,,
奥大日岳,奥大日岳,,,,富山県,北陸,,,,,,,,
三俣蓮華岳,三俣蓮華岳,,,,富山県,北陸,,,,,,,,
太郎山,太郎山,,,,富山県,北陸,,,,,,,,
白木峰,白木峰,,,,富山県,北陸,,,,,,,,
白鳥山,白鳥山,,,,富山県,北陸,,,,,,,,
室堂平,室堂平,,,,富山県,北陸,,,,,,,,
雄山,雄山,,,,富山県,北陸,,,,,,,,
鍬崎山,鍬崎山,,,,富山県,北陸,,,,,,,,
雪倉岳,雪倉岳,,,,富山県,北陸,,,,,,,,
中山,中山,,,,富山県,北陸,,,,,,,,
朝日岳,朝日岳,,,,富山県,北陸,,,,,,,,
駒ヶ岳,駒ヶ岳,,,,富山県,北陸,,,,,,,,
赤牛岳,赤牛岳,,,,富山県,北陸,,,,,,,,
真砂岳,真砂岳,,,,富山県,北陸,,,,,,,,
国見岳,国見岳,,,,富山県,北陸,,,,,,,,
大日岳,大日岳,,,,富山県,北陸,,,,,,,,
小白木峰,小白木峰,,,,富山県,北陸,,,,,,,,
白山・御前峰,白山・御前峰,,,,石川県,北陸,,,,,,,,
医王山,医王山,,,,石川県,北陸,,,,,,,,
宝達山,宝達山,,,,石川県,北陸,,,,,,,,
倉ヶ岳,倉ヶ岳,,,,石川県,北陸,,,,,,,,
石動山,石動山,,,,石川県,北陸,,,,,,,,
高三郎山,高三郎山,,,,石川県,北陸,,,,,,,,
大笠山,大笠山,,,,石川県,北陸,,,,,,,,
一里野高原,一里野高原,,,,石川県,北陸,,,,,,,,
獅子吼高原,獅子吼高原,,,,石川県,北陸,,,,,,,,
野田山,野田山,,,,石川県,北陸,,,,,,,,
白山白峰,白山白峰,,,,石川県,北陸,,,,,,,,
富士写ヶ岳,富士写ヶ岳,,,,石川県,北陸,,,,,,,,
三村山,三村山,,,,石川県,北陸,,,,,,,,
鳴谷山,鳴谷山,,,,石川県,北陸,,,,,,,,
大日山,大日山,,,,石川県,北陸,,,,,,,,
山毛欅尾山,山毛欅尾山,,,,石川県,北陸,,,,,,,,
奈良岳,奈良岳,,,,石川県,北陸,,,,,,,,
鞍掛山,鞍掛山,,,,石川県,北陸,,,,,,,,
大倉岳,大倉岳,,,,石川県,北陸,,,,,,,,
鈴ヶ岳,鈴ヶ岳,,,,石川県,北陸,,,,,,,,
口三方岳,口三方岳,,,,石川県,北陸,,,,,,,,
笈ヶ岳,笈ヶ岳,,,,石川県,北陸,,,,,,,,
別山,別山,,,,石川県,北陸,,,,,,,,
荒島岳,荒島岳,,,,福井県,北陸,,,,,,,,
法恩寺山(スキージャム勝山),法恩寺山(スキージャム勝山),,,,福井県,北陸,,,,,,,,
取立山,取立山,,,,福井県,北陸,,,,,,,,
浄法寺山,浄法寺山,,,,福井県,北陸,,,,,,,,
冠山,冠山,,,,福井県,北陸,,,,,,,,
日野山,日野山,,,,福井県,北陸,,,,,,,,
大佛寺山,大佛寺山,,,,福井県,北陸,,,,,,,,
権現山,権現山,,,,福井県,北陸,,,,,,,,
野坂岳,野坂岳,,,,福井県,北陸,,,,,,,,
赤兎山,赤兎山,,,,福井県,北陸,,,,,,,,
銀杏峰,銀杏峰,,,,福井県,北陸,,,,,,,,
能郷白山,能郷白山,,,,福井県,北陸,,,,,,,,
国見岳,国見岳,,,,福井県,北陸,,,,,,,,
火燈山,火燈山,,,,福井県,北陸,,,,,,,,
文殊山,文殊山,,,,福井県,北陸,,,,,,,,
部子山,部子山,,,,福井県,北陸,,,,,,,,
六呂師高原,六呂師高原,,,,福井県,北陸,,,,,,,,
三十三間山,三十三間山,,,,福井県,北陸,,,,,,,,
西方が岳,西方が岳,,,,福井県,北陸,,,,,,,,
筑波山,筑波山,,,,茨城県,関東・甲信,,,,,,,,
八溝山,八溝山,,,,茨城県,関東・甲信,,,,,,,,
奥久慈男体山,奥久慈男体山,,,,茨城県,関東・甲信,,,,,,,,
堅破山,堅破山,,,,茨城県,関東・甲信,,,,,,,,
宝篋山,宝篋山,,,,茨城県,関東・甲信,,,,,,,,
風神山,風神山,,,,茨城県,関東・甲信,,,,,,,,
加波山,加波山,,,,茨城県,関東・甲信,,,,,,,,
那須高原,那須高原,,,,栃木県,関東・甲信,,,,,,,,
茶臼岳(那須岳),茶臼岳(那須岳),,,,栃木県,関東・甲信,,,,,,,,
皇海山,皇海山,,,,栃木県,関東・甲信,,,,,,,,
男体山,男体山,,,,栃木県,関東・甲信,,,,,,,,
日光白根山,日光白根山,,,,栃木県,関東・甲信,,,,,,,,
太平山,太平山,,,,栃木県,関東・甲信,,,,,,,,
女峰山,女峰山,,,,栃木県,関東・甲信,,,,,,,,
釈迦ヶ岳,釈迦ヶ岳,,,,栃木県,関東・甲信,,,,,,,,
社山,社山,,,,栃木県,関東・甲信,,,,,,,,
三本槍岳,三本槍岳,,,,栃木県,関東・甲信,,,,,,,,
古賀志山,古賀志山,,,,栃木県,関東・甲信,,,,,,,,
朝日岳,朝日岳,,,,栃木県,関東・甲信,,,,,,,,
袈裟丸山,袈裟丸山,,,,栃木県,関東・甲信,,,,,,,,
庚申山,庚申山,,,,栃木県,関東・甲信,,,,,,,,
古峰ヶ原,古峰ヶ原,,,,栃木県,関東・甲信,,,,,,,,
石裂山,石裂山,,,,栃木県,関東・甲信,,,,,,,,
日留賀岳,日留賀岳,,,,栃木県,関東・甲信,,,,,,,,
鳴虫山,鳴虫山,,,,栃木県,関東・甲信,,,,,,,,
大小山,大小山,,,,栃木県,関東・甲信,,,,,,,,
三床山,三床山,,,,栃木県,関東・甲信,,,,,,,,
雨巻山,雨巻山,,,,栃木県,関東・甲信,,,,,,,,
備前楯山,備前楯山,,,,栃木県,関東・甲信,,,,,,,,
いろは坂,いろは坂,,,,栃木県,関東・甲信,,,,,,,,
高山,高山,,,,栃木県,関東・甲信,,,,,,,,
天狗山,天狗山,,,,栃木県,関東・甲信,,,,,,,,
二股山,二股山,,,,栃木県,関東・甲信,,,,,,,,
本山,本山,,,,栃木県,関東・甲信,,,,,,,,
太郎山,太郎山,,,,栃木県,関東・甲信,,,,,,,,
,,,,,栃木県,関東・甲信,,,,,,,,
妙義山,妙義山,,,,群馬県,関東・甲信,,,,,,,,
赤城山,赤城山,,,,群馬県,関東・甲信,,,,,,,,
尾瀬,尾瀬,,,,群馬県,関東・甲信,,,,,,,,
奥利根,奥利根,,,,群馬県,関東・甲信,,,,,,,,
水上,水上,,,,群馬県,関東・甲信,,,,,,,,
万座,万座,,,,群馬県,関東・甲信,,,,,,,,
榛名山,榛名山,,,,群馬県,関東・甲信,,,,,,,,
至仏山,至仏山,,,,群馬県,関東・甲信,,,,,,,,
谷川岳,谷川岳,,,,群馬県,関東・甲信,,,,,,,,
草津白根山,草津白根山,,,,群馬県,関東・甲信,,,,,,,,
四阿山,四阿山,,,,群馬県,関東・甲信,,,,,,,,
浅間隠山,浅間隠山,,,,群馬県,関東・甲信,,,,,,,,
武尊山,武尊山,,,,群馬県,関東・甲信,,,,,,,,
荒船山,荒船山,,,,群馬県,関東・甲信,,,,,,,,
平標山,平標山,,,,群馬県,関東・甲信,,,,,,,,
子持山,子持山,,,,群馬県,関東・甲信,,,,,,,,
岩櫃山,岩櫃山,,,,群馬県,関東・甲信,,,,,,,,
嵩山,嵩山,,,,群馬県,関東・甲信,,,,,,,,
白砂山,白砂山,,,,群馬県,関東・甲信,,,,,,,,
地蔵岳,地蔵岳,,,,群馬県,関東・甲信,,,,,,,,
根本山,根本山,,,,群馬県,関東・甲信,,,,,,,,
玉原高原,玉原高原,,,,群馬県,関東・甲信,,,,,,,,
水沢山（浅間山）,水沢山（浅間山）,,,,群馬県,関東・甲信,,,,,,,,
鼻曲山,鼻曲山,,,,群馬県,関東・甲信,,,,,,,,
笠丸山,笠丸山,,,,群馬県,関東・甲信,,,,,,,,
帳付山,帳付山,,,,群馬県,関東・甲信,,,,,,,,
小野子山,小野子山,,,,群馬県,関東・甲信,,,,,,,,
鹿俣山,鹿俣山,,,,群馬県,関東・甲信,,,,,,,,
長七郎山,長七郎山,,,,群馬県,関東・甲信,,,,,,,,
白雲山,白雲山,,,,群馬県,関東・甲信,,,,,,,,
相馬岳,相馬岳,,,,群馬県,関東・甲信,,,,,,,,
鍋割山,鍋割山,,,,群馬県,関東・甲信,,,,,,,,
鳴神山,鳴神山,,,,群馬県,関東・甲信,,,,,,,,
白毛門,白毛門,,,,群馬県,関東・甲信,,,,,,,,
鍬柄岳,鍬柄岳,,,,群馬県,関東・甲信,,,,,,,,
大源太山,大源太山,,,,群馬県,関東・甲信,,,,,,,,
御巣鷹山,御巣鷹山,,,,群馬県,関東・甲信,,,,,,,,
角落山,角落山,,,,群馬県,関東・甲信,,,,,,,,
八間山,八間山,,,,群馬県,関東・甲信,,,,,,,,
雨降山,雨降山,,,,群馬県,関東・甲信,,,,,,,,
三峰山,三峰山,,,,埼玉県,関東・甲信,,,,,,,,
両神山,両神山,,,,埼玉県,関東・甲信,,,,,,,,
武甲山,武甲山,,,,埼玉県,関東・甲信,,,,,,,,
堂平山,堂平山,,,,埼玉県,関東・甲信,,,,,,,,
十文字峠,十文字峠,,,,埼玉県,関東・甲信,,,,,,,,
日和田山,日和田山,,,,埼玉県,関東・甲信,,,,,,,,
棒の嶺,棒の嶺,,,,埼玉県,関東・甲信,,,,,,,,
伊豆ヶ岳,伊豆ヶ岳,,,,埼玉県,関東・甲信,,,,,,,,
武川岳,武川岳,,,,埼玉県,関東・甲信,,,,,,,,
秩父槍ヶ岳,秩父槍ヶ岳,,,,埼玉県,関東・甲信,,,,,,,,
蕨山,蕨山,,,,埼玉県,関東・甲信,,,,,,,,
多峯主山,多峯主山,,,,埼玉県,関東・甲信,,,,,,,,
丸山,丸山,,,,埼玉県,関東・甲信,,,,,,,,
大霧山,大霧山,,,,埼玉県,関東・甲信,,,,,,,,
熊倉山,熊倉山,,,,埼玉県,関東・甲信,,,,,,,,
破風山,破風山,,,,埼玉県,関東・甲信,,,,,,,,
御嶽山,御嶽山,,,,埼玉県,関東・甲信,,,,,,,,
蓑山,蓑山,,,,埼玉県,関東・甲信,,,,,,,,
白石山(和名倉山),白石山(和名倉山),,,,埼玉県,関東・甲信,,,,,,,,
大仁田山,大仁田山,,,,埼玉県,関東・甲信,,,,,,,,
二ノ峰（釜ノ沢五峰）,二ノ峰（釜ノ沢五峰）,,,,埼玉県,関東・甲信,,,,,,,,
龍崖山,龍崖山,,,,埼玉県,関東・甲信,,,,,,,,
二子山,二子山,,,,埼玉県,関東・甲信,,,,,,,,
官ノ倉山,官ノ倉山,,,,埼玉県,関東・甲信,,,,,,,,
宝登山,宝登山,,,,埼玉県,関東・甲信,,,,,,,,
四阿屋山,四阿屋山,,,,埼玉県,関東・甲信,,,,,,,,
二子山(横瀬町),二子山(横瀬町),,,,埼玉県,関東・甲信,,,,,,,,
物見山(東松山市),物見山(東松山市),,,,埼玉県,関東・甲信,,,,,,,,
関八州見晴台,関八州見晴台,,,,埼玉県,関東・甲信,,,,,,,,
子の権現,子の権現,,,,埼玉県,関東・甲信,,,,,,,,
顔振峠,顔振峠,,,,埼玉県,関東・甲信,,,,,,,,
鐘撞堂山,鐘撞堂山,,,,埼玉県,関東・甲信,,,,,,,,
仙元山,仙元山,,,,埼玉県,関東・甲信,,,,,,,,
物見山(毛呂山町),物見山(毛呂山町),,,,埼玉県,関東・甲信,,,,,,,,
南天山,南天山,,,,埼玉県,関東・甲信,,,,,,,,
霧藻ヶ峰,霧藻ヶ峰,,,,埼玉県,関東・甲信,,,,,,,,
鹿野山,鹿野山,,,,千葉県,関東・甲信,,,,,,,,
富山,富山,,,,千葉県,関東・甲信,,,,,,,,
鋸山,鋸山,,,,千葉県,関東・甲信,,,,,,,,
三郡山,三郡山,,,,千葉県,関東・甲信,,,,,,,,
御殿山,御殿山,,,,千葉県,関東・甲信,,,,,,,,
伊予ケ岳,伊予ケ岳,,,,千葉県,関東・甲信,,,,,,,,
高宕山,高宕山,,,,千葉県,関東・甲信,,,,,,,,
大日山,大日山,,,,千葉県,関東・甲信,,,,,,,,
高尾山,高尾山,,,,東京都,関東・甲信,,,,,,,,
御岳山,御岳山,,,,東京都,関東・甲信,,,,,,,,
雲取山,雲取山,,,,東京都,関東・甲信,,,,,,,,
三原山,三原山,,,,東京都,関東・甲信,,,,,,,,
棒ノ折山 ,棒ノ折山 ,,,,東京都,関東・甲信,,,,,,,,
陣場山,陣場山,,,,東京都,関東・甲信,,,,,,,,
三頭山,三頭山,,,,東京都,関東・甲信,,,,,,,,
鷹ノ巣山,鷹ノ巣山,,,,東京都,関東・甲信,,,,,,,,
御前山,御前山,,,,東京都,関東・甲信,,,,,,,,
川苔山（川乗山）,川苔山（川乗山）,,,,東京都,関東・甲信,,,,,,,,
大岳山,大岳山,,,,東京都,関東・甲信,,,,,,,,
日の出山,日の出山,,,,東京都,関東・甲信,,,,,,,,
本仁田山,本仁田山,,,,東京都,関東・甲信,,,,,,,,
岩茸石山,岩茸石山,,,,東京都,関東・甲信,,,,,,,,
六ツ石山,六ツ石山,,,,東京都,関東・甲信,,,,,,,,
天上山,天上山,,,,東京都,関東・甲信,,,,,,,,
浅間嶺,浅間嶺,,,,東京都,関東・甲信,,,,,,,,
景信山,景信山,,,,東京都,関東・甲信,,,,,,,,
臼杵山,臼杵山,,,,東京都,関東・甲信,,,,,,,,
市道山,市道山,,,,東京都,関東・甲信,,,,,,,,
戸倉城山,戸倉城山,,,,東京都,関東・甲信,,,,,,,,
酉谷山,酉谷山,,,,東京都,関東・甲信,,,,,,,,
雄山,雄山,,,,東京都,関東・甲信,,,,,,,,
高水山,高水山,,,,東京都,関東・甲信,,,,,,,,
惣岳山,惣岳山,,,,東京都,関東・甲信,,,,,,,,
丹沢,丹沢,,,,神奈川県,関東・甲信,,,,,,,,
星ヶ山,星ヶ山,,,,神奈川県,関東・甲信,,,,,,,,
陣馬山,陣馬山,,,,神奈川県,関東・甲信,,,,,,,,
大山,大山,,,,神奈川県,関東・甲信,,,,,,,,
金時山,金時山,,,,神奈川県,関東・甲信,,,,,,,,
箱根山,箱根山,,,,神奈川県,関東・甲信,,,,,,,,
不老山,不老山,,,,神奈川県,関東・甲信,,,,,,,,
大野山,大野山,,,,神奈川県,関東・甲信,,,,,,,,
権現山(山北町),権現山(山北町),,,,神奈川県,関東・甲信,,,,,,,,
屏風岩山,屏風岩山,,,,神奈川県,関東・甲信,,,,,,,,
塔ノ岳,塔ノ岳,,,,神奈川県,関東・甲信,,,,,,,,
蛭ヶ岳,蛭ヶ岳,,,,神奈川県,関東・甲信,,,,,,,,
檜洞丸,檜洞丸,,,,神奈川県,関東・甲信,,,,,,,,
鍋割山,鍋割山,,,,神奈川県,関東・甲信,,,,,,,,
明神ヶ岳,明神ヶ岳,,,,神奈川県,関東・甲信,,,,,,,,
畦ヶ丸山,畦ヶ丸山,,,,神奈川県,関東・甲信,,,,,,,,
菰釣山,菰釣山,,,,神奈川県,関東・甲信,,,,,,,,
加入道山,加入道山,,,,神奈川県,関東・甲信,,,,,,,,
幕山,幕山,,,,神奈川県,関東・甲信,,,,,,,,
丹沢山,丹沢山,,,,神奈川県,関東・甲信,,,,,,,,
鷹取山,鷹取山,,,,神奈川県,関東・甲信,,,,,,,,
石老山,石老山,,,,神奈川県,関東・甲信,,,,,,,,
大楠山,大楠山,,,,神奈川県,関東・甲信,,,,,,,,
矢倉岳,矢倉岳,,,,神奈川県,関東・甲信,,,,,,,,
仏果山,仏果山,,,,神奈川県,関東・甲信,,,,,,,,
弘法山,弘法山,,,,神奈川県,関東・甲信,,,,,,,,
駒ヶ岳,駒ヶ岳,,,,神奈川県,関東・甲信,,,,,,,,
円海山,円海山,,,,神奈川県,関東・甲信,,,,,,,,
鐘ヶ嶽,鐘ヶ嶽,,,,神奈川県,関東・甲信,,,,,,,,
ヤビツ峠,ヤビツ峠,,,,神奈川県,関東・甲信,,,,,,,,
犬越路,犬越路,,,,神奈川県,関東・甲信,,,,,,,,
白石峠,白石峠,,,,神奈川県,関東・甲信,,,,,,,,
日向山,日向山,,,,神奈川県,関東・甲信,,,,,,,,
檜岳,檜岳,,,,神奈川県,関東・甲信,,,,,,,,
鷹巣山,鷹巣山,,,,神奈川県,関東・甲信,,,,,,,,
袖平山,袖平山,,,,神奈川県,関東・甲信,,,,,,,,
鐘撞山,鐘撞山,,,,神奈川県,関東・甲信,,,,,,,,
湖尻峠,湖尻峠,,,,神奈川県,関東・甲信,,,,,,,,
箱根峠,箱根峠,,,,神奈川県,関東・甲信,,,,,,,,
大涌谷,大涌谷,,,,神奈川県,関東・甲信,,,,,,,,
早雲山,早雲山,,,,神奈川県,関東・甲信,,,,,,,,
神山,神山,,,,神奈川県,関東・甲信,,,,,,,,
峰山,峰山,,,,神奈川県,関東・甲信,,,,,,,,
シダンゴ山,シダンゴ山,,,,神奈川県,関東・甲信,,,,,,,,
武山,武山,,,,神奈川県,関東・甲信,,,,,,,,
富士山北麓5合目,富士山北麓5合目,,,,山梨県,関東・甲信,,,,,,,,
身延山,身延山,,,,山梨県,関東・甲信,,,,,,,,
清里,清里,,,,山梨県,関東・甲信,,,,,,,,
富士山山頂,富士山山頂,,,,山梨県,関東・甲信,,,,,,,,
夜叉神峠,夜叉神峠,,,,山梨県,関東・甲信,,,,,,,,
甲斐駒ヶ岳,甲斐駒ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
鳳凰山,鳳凰山,,,,山梨県,関東・甲信,,,,,,,,
北岳,北岳,,,,山梨県,関東・甲信,,,,,,,,
間ノ岳,間ノ岳,,,,山梨県,関東・甲信,,,,,,,,
大菩薩嶺,大菩薩嶺,,,,山梨県,関東・甲信,,,,,,,,
瑞牆山,瑞牆山,,,,山梨県,関東・甲信,,,,,,,,
金峰山,金峰山,,,,山梨県,関東・甲信,,,,,,,,
甲武信ヶ岳,甲武信ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
湯村山,湯村山,,,,山梨県,関東・甲信,,,,,,,,
滝子山,滝子山,,,,山梨県,関東・甲信,,,,,,,,
三ッ峠山,三ッ峠山,,,,山梨県,関東・甲信,,,,,,,,
櫛形山,櫛形山,,,,山梨県,関東・甲信,,,,,,,,
七面山,七面山,,,,山梨県,関東・甲信,,,,,,,,
毛無山,毛無山,,,,山梨県,関東・甲信,,,,,,,,
日向山,日向山,,,,山梨県,関東・甲信,,,,,,,,
茅ヶ岳,茅ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
十二ヶ岳,十二ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
杓子山,杓子山,,,,山梨県,関東・甲信,,,,,,,,
御正体山,御正体山,,,,山梨県,関東・甲信,,,,,,,,
足和田山,足和田山,,,,山梨県,関東・甲信,,,,,,,,
乾徳山,乾徳山,,,,山梨県,関東・甲信,,,,,,,,
竜ヶ岳,竜ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
本社ケ丸,本社ケ丸,,,,山梨県,関東・甲信,,,,,,,,
三国山,三国山,,,,山梨県,関東・甲信,,,,,,,,
石割山,石割山,,,,山梨県,関東・甲信,,,,,,,,
飛竜山,飛竜山,,,,山梨県,関東・甲信,,,,,,,,
鬼ヶ岳,鬼ヶ岳,,,,山梨県,関東・甲信,,,,,,,,
笠取山,笠取山,,,,山梨県,関東・甲信,,,,,,,,
扇山(甲州市),扇山(甲州市),,,,山梨県,関東・甲信,,,,,,,,
大室山,大室山,,,,山梨県,関東・甲信,,,,,,,,
