漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
美瑛岳,美瑛岳　　北海道,びえいだけ,Bieidake,2052 ,北海道,北海道,43.439935,142.7063131,美瑛町,,,,,
富良野岳,富良野岳　　北海道,ふらのだけ,Furanodake,1912 ,北海道,北海道,43.393643,142.6351196,上富良野町,,,,,
室蘭岳(鷲別岳),室蘭岳(鷲別岳)　　北海道,むろらんだけ（わしべつだけ）,Murorandake (Washibetudake),911 ,北海道,北海道,42.4356909,141.0031757,登別市,,,,,
夕張岳,夕張岳　　北海道,ゆうばりだけ,Yuubaridake,1668 ,北海道,北海道,43.0996274,142.2509399,南富良野町,,,,,
塩谷丸山,塩谷丸山　　北海道,しおやまるやま,Shioyamaruyama,629 ,北海道,北海道,43.4173533,143.0308965,小樽市,,,,,
ペテガリ岳,ペテガリ岳　　北海道,ぺてがりだけ,Petegaridake,1736 ,北海道,北海道,42.4993642,142.8710458,新ひだか町,,,,,
知駒,知駒　　北海道,しりこま,Shirikoma,529 ,北海道,北海道,44.9583081,142.1497868,幌延町,,,,,
ニセイカウシュッペ山,ニセイカウシュッペ山　　北海道,にせいかうしゅっぺやま,Niseikaushuppeyama,1883 ,北海道,北海道,43.7799482,142.9854315,上川町,,,,,
愛別岳,愛別岳　　北海道,あいべつだけ,Aibetsudake,2113 ,北海道,北海道,43.707903,142.8571012,上川町,,,,,
西別岳,西別岳　　北海道,にしべつだけ,Nishibetudake,799 ,北海道,北海道,43.5548843,144.581197,標茶町,,,,,
当麻岳,当麻岳　　北海道,とうまだけ,Toumadake,2076 ,北海道,北海道,43.6933072,142.8436491,上川町,,,,,
昆布岳,昆布岳　　北海道,こんぶだけ,Konbudake,1045 ,北海道,北海道,42.7104172,140.6551756,ニセコ町,,,,,
オプタテシケ山,オプタテシケ山　　北海道,おぷたてしけやま,Opetatesikeyama,2012 ,北海道,北海道,43.4702473,142.7515284,新得町,,,,,
剣山,剣山　　北海道,つるぎやま,Tsurugiyama,1205 ,北海道,北海道,42.8486006,142.8850192,清水町,,,,,
イチャンコッペ山,イチャンコッペ山　　北海道,いちゃんこっぺやま,Ichankoppeyama,829 ,北海道,北海道,42.8245555,141.3454872,恵庭市,,,,,
手稲山,手稲山　　北海道,ていねやま,Teineyama,1023 ,北海道,北海道,43.076675,141.1926452,札幌市手稲区,,,,,
雄鉾岳,雄鉾岳　　北海道,おぼこだけ,Obokodake,1000 ,北海道,北海道,42.1541067,140.1162039,八雲町,,,,,
武佐岳,武佐岳　　北海道,むさだけ,Musadake,1005 ,北海道,北海道,43.6777291,144.8817362,中標津町,,,,,
百松沢山,百松沢山　　北海道,ひゃくまつざわやま,Hyakumatuzawayama,1038 ,北海道,北海道,43.0210991,141.2040633,札幌市西区,,,,,
知床岳,知床岳　　北海道,しれとこだけ,Shiretokodake,1254 ,北海道,北海道,44.2357985,145.2716666,斜里町,,,,,
楽古岳,楽古岳　　北海道,らっこだけ,Rakkodake,1472 ,北海道,北海道,42.2724751,143.111172,広尾町,,,,,
野塚岳,野塚岳　　北海道,のづかだけ,Nozukadake,1353 ,北海道,北海道,42.3290839,143.0477451,広尾町,,,,,
無意根山,無意根山　　北海道,むいねやま,Muineyama,1464 ,北海道,北海道,42.9286334,141.0395796,京極町,,,,,
音江山,音江山　　北海道,おとえやま,Otoeyama,796 ,北海道,北海道,43.6462862,142.0818077,深川市,,,,,
漁岳,漁岳　　北海道,いざりだけ,Izaridake,1318 ,北海道,北海道,42.8211706,141.2355381,恵庭市,,,,,
雄阿寒岳,雄阿寒岳　　北海道,おあかんだけ,Oakanndake,1370 ,北海道,北海道,43.4533311,144.1625,釧路市,,,,,
十勝幌尻岳,十勝幌尻岳　　北海道,とかちぽろしりだけ,Tokachiporoshiridake,1846 ,北海道,北海道,42.6953264,142.8594559,帯広市,,,,,
伊達紋別岳,伊達紋別岳　　北海道,だてもんべつだけ,Datemonbetsudake,715 ,北海道,北海道,42.4854897,140.9368733,伊達市,,,,,
伏美岳,伏美岳　　北海道,ふしみだけ,Fushimidake,1792 ,北海道,北海道,42.7764861,142.7657622,帯広市,,,,,
美幌峠,美幌峠　　北海道,びほろとうげ,Bihorotouge,483 ,北海道,北海道,43.6469183,144.2497658,弟子屈町,,,,,
風不死岳,風不死岳　　北海道,ふっぷしだけ,Fuppushidake,1103 ,北海道,北海道,42.7169111,141.3590341,千歳市,,,,,
空沼岳,空沼岳　　北海道,そらぬまだけ,Soranumadake,1251 ,北海道,北海道,42.8648614,141.2537323,札幌市南区,,,,,
鏡山,鏡山　　北海道,かがみやま,Kagamiyama,330 ,北海道,北海道,41.7985305,140.5799671,北斗市,,,,,
1839峰,1839峰　　北海道,いっぱーさんきゅうほう　1839ほう,Ippasankyuhou 1839hou,1842 ,北海道,北海道,42.5393435,142.8080817,新ひだか町,,,,,
上ホロカメットク山,上ホロカメットク山　　北海道,かみほろかめっとくやま,Kamihorokamettokuyama,1920 ,北海道,北海道,43.4048034,142.6719111,南富良野町,,,,,
砥石山,砥石山　　北海道,といしやま,Toishiyama,826 ,北海道,北海道,42.9975422,141.2586987,札幌市中央区,,,,,
オロフレ山,オロフレ山　　北海道,おろふれやま,Orofureyama,1231 ,北海道,北海道,42.566315,141.0868611,白老町,,,,,
チセヌプリ,チセヌプリ　　北海道,ちせぬぷり,Chisenupuri,1134 ,北海道,北海道,42.8881622,140.5964991,共和町,,,,,
