Climbing shoes (Trekking shoes)
Rucksack
Rucksack cover
Head Lamp
Rainwear
Sunglasses
Map
Compass
Watch
Drinking Water
Food
Emergency Food
Sunscreen
Tissues
Plastic Bag
Washcloth, Towel
Lighter
Emergency Kit
Mobile Battery & Charger
Bivouac Shelter
Copy of Health Insurance Card
Climbing Clothing
Hat
Socks
Snowsuit
Gloves
Trekking Pole
Gaiter
Waist pouch
Crampons
Multi-function Knife
Waterproof Bag / Stuff sack
